trade_index,symbol,entry_date,exit_date,entry_sig_date,exit_sig_date,position,period,entry_index,exit_index,return,industry,stock_id,trade_price@entry_date,trade_price@exit_date,adj_close@entry_date,pct_change@entry_date,pct_change@exit_date,turnover@entry_date,turnover@exit_date,volume@entry_date,volume@exit_date,類別@entry_sig_date,類別@exit_sig_date,mae,gmfe,bmfe,mdd,pdays
41,2059 川湖,2023-06-12,2023-06-19,2023-06-09,2023-06-16,0.009615384615384616,5.0,3976.0,3981.0,0.0018347660500541707,電子零組件業,2059 川湖,459.5,461.0,799.5109132413614,0.027964205816554788,0.0032644178454841466,648799755.5,240259370.0,1411969.0,521170.0,0,0,-0.020983596300326424,0.002921354733405712,0.0,-0.020983596300326424,2.0
42,2236 百達-KY,2023-06-12,2023-06-19,2023-06-09,2023-06-16,0.009615384615384616,5.0,3976.0,3981.0,0.15060719834287872,汽車工業,2236 百達-KY,50.2,58.1,92.21147807662979,-0.013752455795677743,0.05444646098003636,26795705.8,75420016.7,533779.0,1298107.0,0,0,-0.014354755976095812,0.1557212649402393,0.0,-0.014354755976095812,3.0
43,2302 麗正,2023-06-12,2023-06-19,2023-06-09,2023-06-16,0.009615384615384616,5.0,3976.0,3981.0,-0.020182487244591263,半導體業,2302 麗正,20.8,20.5,9.713241329947294,-0.032558139534883734,-0.019138755980861233,40050212.800000004,23340541.5,1925491.0,1138563.0,0,0,-0.015827524038461438,0.02738004807692307,0.02738004807692307,-0.04205607476635509,4.0
44,2303 聯電,2023-06-12,2023-06-19,2023-06-09,2023-06-16,0.009615384615384616,5.0,3976.0,3981.0,0.021356178707224283,半導體業,2303 聯電,52.6,53.8,93.06146757568939,0.005736137667303964,-0.012844036697247652,2278892790.8,2448420784.0,43324958.0,45509680.0,0,0,-0.0014250000000000096,0.03464519961977186,0.0,-0.012844036697247763,5.0
45,2312 金寶,2023-06-12,2023-06-19,2023-06-09,2023-06-16,0.009615384615384616,5.0,3976.0,3981.0,0.0641673130633802,其他電子業,2312 金寶,14.2,15.2,22.70158888291147,-0.010452961672473893,-0.019354838709677358,543441341.4,972709940.0,38270517.0,63994075.0,0,0,-0.022521654929577473,0.08999383802816885,0.0,-0.022521654929577473,2.0
46,2324 仁寶,2023-06-12,2023-06-19,2023-06-09,2023-06-16,0.009615384615384616,5.0,3976.0,3981.0,-0.004099560505482325,電腦及週邊設備業,2324 仁寶,28.5,28.55,93.28957686822721,-0.012131715771230511,-0.04515050167224077,580420797.0,1993383468.8500001,20365642.0,69820787.0,0,0,-0.0014250000000000096,0.04762780701754399,0.0,-0.045150501672240884,5.0
47,2329 華泰,2023-06-12,2023-06-19,2023-06-09,2023-06-16,0.009615384615384616,5.0,3976.0,3981.0,0.0071518128880720955,半導體業,2329 華泰,22.95,23.25,9.765595613233689,-0.0021739130434783593,0.004319654427645814,169518178.35,88669757.25,7386413.0,3813753.0,0,0,-0.0014250000000000096,0.052963616557734294,0.0,-0.04338842975206603,5.0
48,2351 順德,2023-06-12,2023-06-19,2023-06-09,2023-06-16,0.009615384615384616,5.0,3976.0,3981.0,-0.021438303090686395,半導體業,2351 順德,127.5,125.5,252.39341451147024,0.02822580645161299,0.012096774193548487,416307645.0,139061655.5,3265158.0,1108061.0,0,0,-0.028836862745098224,0.0,0.0,-0.028836862745098224,0.0
49,2369 菱生,2023-06-12,2023-06-19,2023-06-09,2023-06-16,0.009615384615384616,5.0,3976.0,3981.0,0.0527350000000002,半導體業,2369 菱生,14.75,15.55,29.684415286237776,-0.013377926421404562,-0.0032051282051281937,9434793.25,26688822.650000002,639647.0,1716323.0,0,0,-0.0014250000000000096,0.05612000000000017,0.0,-0.0032051282051281937,5.0
50,2379 瑞昱,2023-06-12,2023-06-19,2023-06-09,2023-06-16,0.009615384615384616,5.0,3976.0,3981.0,-0.015686826113861407,半導體業,2379 瑞昱,404.0,400.0,606.1742901407868,0.002481389578163684,-0.0024937655860348684,809007980.0,358068000.0,2002495.0,895170.0,0,0,-0.011311881188118766,0.024528063118811838,0.024528063118811838,-0.03498190591073569,3.0
51,2393 億光,2023-06-12,2023-06-19,2023-06-09,2023-06-16,0.009615384615384616,5.0,3976.0,3981.0,0.0023470887815399966,光電業,2393 億光,48.55,48.95,134.8515206263486,-0.023138832997988024,0.0,109449954.8,42422811.2,2254376.0,866656.0,0,0,-0.0014250000000000096,0.03456894953656042,0.0,-0.026838966202783143,5.0
