trade_index,symbol,entry_date,exit_date,entry_sig_date,exit_sig_date,position,period,entry_index,exit_index,return,industry,stock_id,trade_price@entry_date,trade_price@exit_date,adj_close@entry_date,pct_change@entry_date,pct_change@exit_date,turnover@entry_date,turnover@exit_date,volume@entry_date,volume@exit_date,類別@entry_sig_date,類別@exit_sig_date,mae,gmfe,bmfe,mdd,pdays,holding_days
45,5356 協益,2023-06-26,2023-07-13,2023-06-21,2023-07-12,0.0181818181818181,13,3984,3997,-0.0037976889062468,電腦及週邊設備業,5356 協益,30.6,29.15,79.14592274646515,0.0032786885245901,0.0086505190311416,7988558.4,12641830.3,261064.0,433682.0,0,0,-0.0112149509803922,0.0589463643790848,0.0589463643790848,-0.0662557781201849,9.0,17.0
46,5469 瀚宇博,2023-06-26,2023-07-13,2023-06-21,2023-07-12,0.0181818181818181,13,3984,3997,0.0111868204965204,電子零組件業,5469 瀚宇博,46.7,47.5,148.701155366799,0.0241228070175438,0.0,261729075.9,107181755.0,5604477.0,2256458.0,0,0,-0.001425,0.040271386509636,0.0,-0.0236382322713257,12.0,17.0
47,6191 精成科,2023-06-26,2023-07-13,2023-06-21,2023-07-12,0.0181818181818181,13,3984,3997,0.0797235527682613,電子零組件業,6191 精成科,44.15,47.95,100.68835150525624,0.0219907407407407,0.0094736842105263,229507196.65,332961539.40000004,5198351.0,6943932.0,0,0,-0.001425,0.0901770101925254,0.0,-0.0446058091286307,13.0,17.0
48,6416 瑞祺電,2023-06-26,2023-07-13,2023-06-21,2023-07-12,0.0181818181818181,13,3984,3997,-0.037848726346831,通信網路業,6416 瑞祺電,99.4,96.2,115.16082930934677,-0.048803827751196,0.0031282586027112,75248185.60000001,27225946.8,757024.0,283014.0,0,0,-0.0406045020120726,0.0046026156941647,0.0046026156941647,-0.045,1.0,17.0
49,6670 復盛應用,2023-06-26,2023-07-13,2023-06-21,2023-07-12,0.0181818181818181,13,3984,3997,-0.008077753488764,運動休閒,6670 復盛應用,222.5,222.0,271.5945031252482,-0.0409482758620688,-0.002247191011236,122515620.0,134202552.0,550632.0,604516.0,0,0,-0.0238648876404495,0.0322348314606741,0.0,-0.0347826086956521,7.0,17.0
50,8024 佑華,2023-06-26,2023-07-13,2023-06-21,2023-07-12,0.0181818181818181,13,3984,3997,-0.0693269579355377,半導體業,8024 佑華,26.2,22.7,51.311420729322535,-0.0131826741996233,0.0,10378684.6,3258630.4,396133.0,143552.0,0,0,-0.0651904255686791,0.0233488072519085,0.0233488072519085,-0.0865191146881287,3.0,17.0
51,8110 華東,2023-06-26,2023-07-13,2023-06-21,2023-07-12,0.0181818181818181,13,3984,3997,-0.0093942526093753,半導體業,8110 華東,14.0,13.95,20.811660941399182,-0.0140845070422536,-0.0035714285714284,14955164.0,25894799.1,1068226.0,1856258.0,0,0,-0.0263893749999999,0.080600803571428,0.0,-0.079207920792079,9.0,17.0
52,8147 正淩,2023-06-26,2023-07-13,2023-06-21,2023-07-12,0.0181818181818181,13,3984,3997,-0.1483837236140639,電子零組件業,8147 正淩,82.3,70.5,125.31716509947152,-0.0496535796766743,-0.0042372881355932,164335652.4,25578246.0,1996788.0,362812.0,1,0,-0.151878584447144,0.0,0.0,-0.151878584447144,0.0,17.0
53,8171 天宇,2023-06-26,2023-07-13,2023-06-21,2023-07-12,0.0181818181818181,13,3984,3997,-0.1537025578339038,綠能環保,8171 天宇,51.1,43.5,54.97212117855561,-0.0248091603053435,-0.0057142857142856,39925094.3,21772359.0,781313.0,500514.0,0,0,-0.1587347602739723,0.0,0.0,-0.1587347602739723,0.0,17.0
54,8215 明基材,2023-06-26,2023-07-13,2023-06-21,2023-07-12,0.0181818181818181,13,3984,3997,0.0266695936077046,光電業,8215 明基材,39.75,41.05,57.26525108641522,0.0012594458438286,-0.0084541062801931,87532242.75,216834761.55,2202069.0,5282211.0,0,0,-0.0177538993710691,0.1204137106918241,0.0,-0.1008968609865471,9.0,17.0
